prompt,prompt_language,turns,chars_in,chars_out,generic_fallback_replies,engine_errors,fallback_rate,code_produced,files_created,echoes_user_text,reply_language,language_instruction_met,app_runs,score_1_5
p1,pl,16,852,538,16,0,1.0,False,0,True,en,False,False,1
p2,pl,13,987,546,13,0,1.0,False,0,True,en,False,False,1
p3,pl,15,1217,559,15,0,1.0,False,0,True,en,False,False,1
p3.1,pl,5,602,138,5,0,1.0,False,0,False,en,False,False,1
p4,pl,10,1278,525,10,0,1.0,False,0,True,en,False,False,1
p5,pl,12,1310,465,12,0,1.0,False,0,True,en,False,False,1
p6,pl,8,982,234,8,0,1.0,False,0,False,en,False,False,1
p7,pl,10,1108,580,10,0,1.0,False,0,True,en,False,False,1
p7.1,pl,2,92,75,2,0,1.0,False,0,False,en,False,False,1
p8,pl,13,1087,400,13,0,1.0,False,0,False,en,False,False,1
p9,pl,9,1179,260,9,0,1.0,False,0,False,en,False,False,1
p10,pl,14,1034,449,14,0,1.0,False,0,True,en,False,False,1
p11,en,18,1526,570,18,0,1.0,False,0,True,en,True,False,1
p12,en,18,1305,662,18,0,1.0,False,0,True,en,True,False,1
p13,en,17,1269,653,17,0,1.0,False,0,True,en,True,False,1
p14,en,4,1211,147,4,1,1.0,False,0,False,en,True,False,1
p15,en,3,1335,51,3,0,1.0,False,0,False,en,True,False,1
p15.1,en,4,130,129,4,0,1.0,False,0,False,en,True,False,1
p16,en,10,1286,336,10,0,1.0,False,0,False,en,True,False,1
p17,en,11,1126,305,11,0,1.0,False,0,False,en,True,False,1
p18,en,14,1267,674,14,0,1.0,False,0,True,en,True,False,1
p19,en,11,1414,480,11,0,1.0,False,0,True,en,True,False,1
p19.1,en,1,17,6,1,0,1.0,False,0,False,en,True,False,1
p20,en,13,1279,577,13,0,1.0,False,0,True,en,True,False,1
p21,en,16,2082,955,16,0,1.0,False,0,True,en,True,False,1
p22,en,19,2497,979,19,0,1.0,False,0,True,en,True,False,1
p23,en,12,1850,1196,12,0,1.0,False,0,True,en,True,False,1
